"Subsection Code","Section","Subsection","Metadata"
"1.1","Contacts","Contact organisation","Food and Agriculture Organization of the United Nations (FAO)"
"1.2","Contacts","Contact organisation unit","Statistics Division (ESS)"
"1.3","Contacts","Contact name","Mr. Salar Tayyib"
"1.4","Contacts","Contact person function","Team Leader for Crops, Livestock and Food Statistics (CLFS) Team"
"1.5","Contacts","Contact mail address","Viale delle Terme di Caracalla, 00153 Rome, Italy"
"1.6","Contacts","Contact email address","faostat@fao.org"
"1.7","Contacts","Contact phone number","+390657052548"
"1.8","Contacts","Contact fax number",""
"2.1","Action Date","Metadata last certified","2021-02-22"
"2.2","Action Date","Metadata last posted","2021-02-22"
"2.3","Action Date","Metadata last update","2021-02-22"
"3.1","Main Characteristics data","Data description","Crop statistics are recorded for 173 products, covering the following categories: Crops Primary, Fibre Crops Primary, Cereals, Coarse Grain, Citrus Fruit, Fruit, Jute Jute-like Fibres, Oilcakes Equivalent, Oil crops Primary, Pulses, Roots and Tubers, Treenuts and Vegetables and Melons. Data are expressed in terms of area harvested, production quantity and yield. The objective is to comprehensively cover production of all primary crops for all countries and regions in the world.Cereals: Area and production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed or silage or used for grazing are therefore excluded. Area data relate to harvested area. Some countries report sown or cultivated area only"
"3.2","Main Characteristics data","Classification system","CPC 2.1 Expanded and FAO Commodity List (FCL), which are an internal FAO classification systems."
"3.2.1","Main Characteristics data","Primary classification",""
"3.2.2","Main Characteristics data","Secondary classification",""
"3.2.3","Main Characteristics data","Secondary classification",""
"3.3","Main Characteristics data","Sector coverage","Most crop products under agricultural activity."
"3.4","Main Characteristics data","Statistical concepts and definitions","Areas refer to the area under cultivation. Area under cultivation means the area that corresponds to the total sown area, but after the harvest it excludes ruined areas (e.g. due to natural disasters). If the same land parcel is used twice in the same year, the area of this parcel can be counted twice. For tree crops, some countries provide data in terms of number of trees instead of in area. This number is then converted to an area estimate using typical planting density conversions. Production means the harvested production. Harvested production means production including on-holding losses and wastage, quantities consumed directly on the farm and marketed quantities, indicated in units of basic product weight. Harvest year means the calendar year in which the harvest begins. Yield means the harvested production per ha for the area under cultivation. Seed quantity comprises all amounts of the commodity in question used during the reference period for reproductive purposes, such as seed or seedlings. Whenever official data are not available, seed figures can be estimated either as a percentage of production or by multiplying a seed rate (the average amount of seed needed per hectare planted) with the planted area of the particular crop of the subsequent year. Usually, the average seed rate in any given country does not vary greatly from year to year."
"3.5","Main Characteristics data","Statistical unit","Agriculture holdings cultivated for the production of crops."
"3.6","Main Characteristics data","Statistical population","All areas cultivated with crops in a country."
"3.7","Main Characteristics data","Reference area","All countries of the world and geographical aggregates according to the United Nations M-49 list."
