"Domain Code","Domain","Element Code","Element","Unit"
"EI","Agri-Environmental Indicators: Emissions intensities","7231","Emissions (CO2eq)","gigagrams"
"EI","Agri-Environmental Indicators: Emissions intensities","71761","Emissions intensity","kg CO2eq/kg product"
"EI","Agri-Environmental Indicators: Emissions intensities","5510","Production","tonnes"
"EM","Agri-Environmental Indicators: Emissions shares","7225","CH4 emissions","gigagrams"
"EM","Agri-Environmental Indicators: Emissions shares","7273","CO2 emissions","gigagrams"
"EM","Agri-Environmental Indicators: Emissions shares","723114","Emissions (CO2eq) (AR4)","gigagrams"
"EM","Agri-Environmental Indicators: Emissions shares","723113","Emissions (CO2eq) (AR5)","gigagrams"
"EM","Agri-Environmental Indicators: Emissions shares","723112","Emissions (CO2eq) (SAR)","gigagrams"
"EM","Agri-Environmental Indicators: Emissions shares","7274","F-gases emissions","gigagrams"
"EM","Agri-Environmental Indicators: Emissions shares","7230","N2O emissions","gigagrams"
"EM","Agri-Environmental Indicators: Emissions shares","7265","Share of total CH4 emissions","%"
"EM","Agri-Environmental Indicators: Emissions shares","7264","Share of total CO2 emissions","%"
"EM","Agri-Environmental Indicators: Emissions shares","726314","Share of total emissions (AR4)","%"
"EM","Agri-Environmental Indicators: Emissions shares","726313","Share of total emissions (AR5)","%"
"EM","Agri-Environmental Indicators: Emissions shares","726312","Share of total emissions (SAR)","%"
"EM","Agri-Environmental Indicators: Emissions shares","7179","Share of total F-gases emissions","%"
"EM","Agri-Environmental Indicators: Emissions shares","7266","Share of total N2O emissions","%"
"EF","Agri-Environmental Indicators: Fertilizers indicators","5159","Use per area of cropland","kg/ha"
"LC","Agri-Environmental Indicators: Land Cover","5008","Area from CCI_LC","1000 ha"
"LC","Agri-Environmental Indicators: Land Cover","5007","Area from MODIS","1000 ha"
"EL","Agri-Environmental Indicators: Land use indicators","7208","Share in Agricultural land","%"
"EL","Agri-Environmental Indicators: Land use indicators","7252","Share in Cropland","%"
"EL","Agri-Environmental Indicators: Land use indicators","7210","Share in Forest land","%"
"EL","Agri-Environmental Indicators: Land use indicators","7209","Share in Land area","%"
"EMN","Agri-Environmental Indicators: Livestock Manure","72538","Amount excreted in manure (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","72539","Losses from manure treated (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","72381","Manure applied to soils (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","723812","Manure applied to soils that leaches (N content)","kg"
