"Domain Code","Domain","Item Code","Item","Description","HS Code","HS07 Code","HS12 Code","CPC Code"
"EI","Agri-Environmental Indicators: Emissions intensities","1718","Cereals excluding rice","","","","",""
"EI","Agri-Environmental Indicators: Emissions intensities","1062","Eggs, hen, in shell","Weight in shell.","","040700","040711, 040721, 040790","0231"
"EI","Agri-Environmental Indicators: Emissions intensities","947","Meat, buffalo","Fresh, chilled or frozen, with bone in or boneless.","","020110, 020120, 020130, 020210, 020220, 020230","020110, 020120, 020130, 020210, 020220, 020230","21112"
"EI","Agri-Environmental Indicators: Emissions intensities","867","Meat, cattle","Meat of bovine animals, fresh, chilled or frozen, with bone in. Commontrade names are beef and veal.","","020110, 020120, 020210, 020220","020110, 020120, 020210, 020220","21111.01"
"EI","Agri-Environmental Indicators: Emissions intensities","1058","Meat, chicken","Fresh, chilled or frozen. May include all types of poultry meat ifnational statistics do not report separate data.","","020711, 020712, 020713, 020714, 020732, 020733, 020735, 020736","020711, 020712, 020713, 020714, 020760","21121"
"EI","Agri-Environmental Indicators: Emissions intensities","1017","Meat, goat","Meat of goats and kids, whether fresh, chilled or frozen, with bone inor boneless.","","020450","020450","21116"
"EI","Agri-Environmental Indicators: Emissions intensities","1035","Meat, pig","Meat, with the bone in, of domestic or wild pigs (e.g. wild boars),whether fresh, chilled or frozen.","","020311, 020312, 020319, 020321, 020322, 020329","020311, 020312, 020319, 020321, 020322, 020329","21113.01"
"EI","Agri-Environmental Indicators: Emissions intensities","977","Meat, sheep","Meat of sheep and lamb, whether fresh, chilled or frozen, with bone inor boneless.","","020410, 020421, 020422, 020423, 020430, 020441, 020442, 020443","020410, 020421, 020422, 020423, 020430, 020441, 020442, 020443","21115"
"EI","Agri-Environmental Indicators: Emissions intensities","951","Milk, whole fresh buffalo","See 882 and derived products.","","040120, 040130","040120, 040140, 040150","02212"
"EI","Agri-Environmental Indicators: Emissions intensities","1130","Milk, whole fresh camel","See 882.","","040120, 040130","040120, 040140, 040150","02293"
"EI","Agri-Environmental Indicators: Emissions intensities","882","Milk, whole fresh cow","Production data refer to raw milk containing all its constituents. Trade data normally cover milk from any animal, and refer to milk that is not concentrated, pasteurized, sterilized or other-wise preserved, homogenized or peptonized.","","040120, 040130","040120, 040140, 040150","02211"
"EI","Agri-Environmental Indicators: Emissions intensities","1020","Milk, whole fresh goat","See 882 and derived products.","","040120, 040130","040120, 040140, 040150","02292"
"EI","Agri-Environmental Indicators: Emissions intensities","982","Milk, whole fresh sheep","See 882 and derived products.","","040120, 040130","040120, 040140, 040150","02291"
"EI","Agri-Environmental Indicators: Emissions intensities","27","Rice, paddy","Oryza spp., mainly oryza sativa. Rice grain after threshing and winnowing. Also known as rice in the husk and rough rice. Used mainly for human food.","","100610","100610","0113"
"EM","Agri-Environmental Indicators: Emissions shares","6822","Agricultural land use","","","","",""
"EM","Agri-Environmental Indicators: Emissions shares","6986","Agriculture and related land use","","","","",""
"EM","Agri-Environmental Indicators: Emissions shares","1711","Agriculture total","","","","",""
"EM","Agri-Environmental Indicators: Emissions shares","6821","Energy","","","","",""
"EM","Agri-Environmental Indicators: Emissions shares","6817","Industrial processes and product use","","","","",""
"EM","Agri-Environmental Indicators: Emissions shares","6820","International Bunkers","","","","",""
"EM","Agri-Environmental Indicators: Emissions shares","6819","Other n.e.c.","","","","",""
"EM","Agri-Environmental Indicators: Emissions shares","6825","Total emissions with agricultural land use","","","","",""
"EM","Agri-Environmental Indicators: Emissions shares","6829","Total emissions without land use","","","","",""
"EM","Agri-Environmental Indicators: Emissions shares","6818","Waste","","","","",""
"EF","Agri-Environmental Indicators: Fertilizers indicators","3102","Nutrient nitrogen N (total)","Total nitrogen (N) from all fertilizer products","","","",""
"EF","Agri-Environmental Indicators: Fertilizers indicators","3103","Nutrient phosphate P2O5 (total)","Total phosphate (P2O5) from all fertilizer products","","","",""
"EF","Agri-Environmental Indicators: Fertilizers indicators","3104","Nutrient potash K2O (total)","Total potash (K2O) from all fertilizer products","","","",""
"LC","Agri-Environmental Indicators: Land Cover","6970","Artificial surfaces (including urban and associated areas)","","","","",""
"LC","Agri-Environmental Indicators: Land Cover","6982","Coastal water bodies and intertidal areas","","","","",""
"LC","Agri-Environmental Indicators: Land Cover","6983","Grassland","","","","",""
"LC","Agri-Environmental Indicators: Land Cover","6971","Herbaceous crops","","","","",""
"LC","Agri-Environmental Indicators: Land Cover","6981","Inland water bodies","","","","",""
"LC","Agri-Environmental Indicators: Land Cover","6975","Mangroves","","","","",""
"LC","Agri-Environmental Indicators: Land Cover","6973","Multiple or layered crops","","","","",""
"LC","Agri-Environmental Indicators: Land Cover","6980","Permanent snow and glaciers","","","","",""
"LC","Agri-Environmental Indicators: Land Cover","6976","Shrub-covered areas","","","","",""
"LC","Agri-Environmental Indicators: Land Cover","6977","Shrubs and/or herbaceous vegetation, aquatic or regularly flooded","","","","",""
"LC","Agri-Environmental Indicators: Land Cover","6978","Sparsely natural vegetated areas","","","","",""
"LC","Agri-Environmental Indicators: Land Cover","6979","Terrestrial barren land","","","","",""
"LC","Agri-Environmental Indicators: Land Cover","6974","Tree-covered areas","","","","",""
"LC","Agri-Environmental Indicators: Land Cover","6972","Woody crops","","","","",""
"EL","Agri-Environmental Indicators: Land use indicators","6610","Agricultural land","Land used for cultivation of crops and animal husbandry. The total of areas under ''Cropland'' and ''Permanent meadows and pastures.''","","","",""
"EL","Agri-Environmental Indicators: Land use indicators","6611","Agriculture area actually irrigated","Land area actually irrigated that is Agriculture.","","","",""
"EL","Agri-Environmental Indicators: Land use indicators","6671","Agriculture area under organic agric.","'Agriculture'' area certified organic and/or in conversion to organic.","","","",""
"EL","Agri-Environmental Indicators: Land use indicators","6621","Arable land","The total of areas under temporary crops, temporary meadows and pastures, and land with temporary fallow.  Arable land does not include land that is potentially cultivable but is not normally cultivated.","","","",""
"EL","Agri-Environmental Indicators: Land use indicators","6620","Cropland","Land used for cultivation of crops. The total of areas under ''Arable land'' and ''Permanent crops''.","","","",""
"EL","Agri-Environmental Indicators: Land use indicators","6646","Forest land","Land spanning more than 0.5 hectares with trees higher than 5 metres and a canopy cover of more than 10 per cent, or trees able to reach these thresholds in situ. Excludes land that is predominantly under agricultural or urban land use, and land that is predominantly used for maintenance and restoration of environmental function. Explanatory notes:• Forest land is determined both by the presence of trees and by the absence of other predominant land uses. The trees should be able to reach a minimum height of 5 metres in situ• Includes areas with young trees that have not yet reached but that are expected to reach a canopy cover of 10 per cent and tree height of 5 metres. It also includes areas that are temporarily unstocked owing to clear-cutting as part of a forest management practice or natural disasters, and that are expected to be regenerated within five years. Local conditions may, in exceptional cases, justify the use of a longer time frame• Includes forest roads, firebreaks and other small open areas• May include forest land in national parks, nature reserves and other protected areas, such as those of specific environmental, scientific, historical, cultural orspiritual interest• Includes windbreaks, shelter belts and corridors of trees with an area of more than 0.5 hectares and width of more than 20 metres• Includes abandoned shifting cultivation land with a regeneration of trees that have, or is expected to reach, a canopy cover of 10 per cent and tree height of 5 metres• Includes areas with mangroves in tidal zones, regardless of whether this area is classified as land area or not• Includes areas with bamboo and palms provided that land use, height and canopy cover criteria are met• Some agroforestry systems such as the taungya system, where crops are grown only during the first years of the forest rotation should be classified as forest• Excludes: tree stands in agricultural production systems, such as fruit-tree plantations (→Permanent crops), oil palm plantations, rubber and Christmas trees (→Permanent crops) and agroforestry systems when crops are grown under tree cover","","","",""
"EL","Agri-Environmental Indicators: Land use indicators","6690","Land area equipped for irrigation","Land area equipped with irrigation infrastructure and equipment to provide water to crops, which are in working order. The equipment does not have to be used during the reference year. The area equipped for irrigation covers areas equipped for fully controlled irrigation by any of the methods of surface, sprinkler or localized irrigation. It also includes areas under partially controlled irrigation methods of spate irrigation (controlling flood waters to water crops), equipped wetlands and inland valley bottoms and equipped flood recession. It excludes manual watering of plants using buckets, watering cans or other devices.","","","",""
"EL","Agri-Environmental Indicators: Land use indicators","6655","Land under perm. meadows and pastures","Land used permanently (five years or more) to grow herbaceous forage crops through cultivation or naturally (wild prairie or grazing land). Permanent meadows and pastures on which trees and shrubs are grown should be recorded under this heading only if the growing of forage crops is the most important use of the area. Measures may be taken to keep or increase productivity of the land (i.e., use of fertilizers, mowing or systematic grazing by domestic animals.) This class includes:• Grazing in wooded areas (agroforestry areas, for example)• Grazing in shrubby zones (heath, maquis, garigue)• Grassland in the plain or low mountain areas used for grazing: land crossed during transhumance where the animals spend a part of the year (approximately 100 days) without returning to the holding in the evening: mountain and subalpine meadows and similar; and steppes and dry meadows used for pasture.","","","",""
