Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1961F,Y1962,Y1962F,Y1963,Y1963F,Y1964,Y1964F,Y1965,Y1965F,Y1966,Y1966F,Y1967,Y1967F,Y1968,Y1968F,Y1969,Y1969F,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F
"10","Australia","221","Almonds, with shell","5312","Area harvested","ha",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M","1430.000000","F","1450.000000","F","1480.000000","F","1560.000000","F","1700.000000","F","1950.000000","F","2300.000000","F","2400.000000","F","2600.000000","F","2900.000000","F","3000.000000","F","3100.000000","F","3900.000000","F","4600.000000","F","4670.000000","F","4700.000000","F","4730.000000","F","4800.000000","F","4850.000000","F","5000.000000","F","5840.000000","F","2157.000000","","2727.000000","","3555.000000","","5053.000000","","5580.000000","","6978.000000","","9376.000000","","12013.000000","","17465.000000","","23797.000000","","25666.000000","","26058.000000","","28586.000000","","28060.000000","","28190.000000","","28553.000000","","29282.000000","","31361.000000","","37903.000000",""
"10","Australia","221","Almonds, with shell","5419","Yield","hg/ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24476.000000","Fc","22414.000000","Fc","23311.000000","Fc","23077.000000","Fc","21765.000000","Fc","20513.000000","Fc","21304.000000","Fc","18750.000000","Fc","18846.000000","Fc","17241.000000","Fc","16667.000000","Fc","29032.000000","Fc","24359.000000","Fc","21739.000000","Fc","23555.000000","Fc","26596.000000","Fc","27484.000000","Fc","31250.000000","Fc","36082.000000","Fc","36000.000000","Fc","35959.000000","Fc","93185.000000","Fc","75541.000000","Fc","62447.000000","Fc","50069.000000","Fc","63799.000000","Fc","50158.000000","Fc","62393.000000","Fc","47782.000000","Fc","46035.000000","Fc","36181.000000","Fc","32300.000000","Fc","41907.000000","Fc","56531.000000","Fc","58800.000000","Fc","45221.000000","Fc","42050.000000","Fc","40909.000000","Fc","39769.000000","Fc","38628.000000","Fc"
"10","Australia","221","Almonds, with shell","5510","Production","tonnes",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M","3500.000000","F","3250.000000","F","3450.000000","F","3600.000000","F","3700.000000","F","4000.000000","F","4900.000000","F","4500.000000","F","4900.000000","F","5000.000000","F","5000.000000","F","9000.000000","F","9500.000000","F","10000.000000","F","11000.000000","F","12500.000000","F","13000.000000","F","15000.000000","F","17500.000000","F","18000.000000","F","21000.000000","F","20100.000000","*","20600.000000","*","22200.000000","*","25300.000000","*","35600.000000","*","35000.000000","*","58500.000000","*","57400.000000","*","80400.000000","*","86100.000000","*","82900.000000","*","109200.000000","*","161600.000000","*","164992.000000","Im","127479.000000","Im","120065.000000","Im","119790.000000","Im","124718.000000","Im","146410.000000","Im"
"10","Australia","711","Anise, badian, fennel, coriander","5312","Area harvested","ha",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M","21.000000","","20.000000","","25.000000","","1994.000000","","2270.000000","","2796.000000","","3259.000000","","1073.000000","","1666.000000","","2137.000000","","3938.000000","","5390.000000","","2585.000000","","984.000000","","1998.000000","","3903.000000","","3080.000000","","894.000000","","310.000000","","19.000000","","132.000000","","455.000000","","386.000000","","752.000000","","127.000000","","1540.000000","*","710.000000","F","684.000000","Im","914.000000","Im","1015.000000","Im","1040.000000","Im","989.000000","Im","989.000000","Im","1083.000000","Im","1108.000000","Im","1145.000000","Im","1182.000000","Im"
"10","Australia","711","Anise, badian, fennel, coriander","5419","Yield","hg/ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48095.000000","Fc","36500.000000","Fc","36400.000000","Fc","11540.000000","Fc","9943.000000","Fc","10333.000000","Fc","11319.000000","Fc","12442.000000","Fc","15156.000000","Fc","15002.000000","Fc","9591.000000","Fc","4642.000000","Fc","6743.000000","Fc","11809.000000","Fc","12713.000000","Fc","9213.000000","Fc","9974.000000","Fc","6689.000000","Fc","11065.000000","Fc","17368.000000","Fc","8561.000000","Fc","8791.000000","Fc","14793.000000","Fc","15811.000000","Fc","4016.000000","Fc","13578.000000","Fc","13901.000000","Fc","11842.000000","Fc","11368.000000","Fc","11488.000000","Fc","11548.000000","Fc","11587.000000","Fc","11608.000000","Fc","11625.000000","Fc","11661.000000","Fc","11712.000000","Fc","11751.000000","Fc"
"10","Australia","711","Anise, badian, fennel, coriander","5510","Production","tonnes",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M","101.000000","","73.000000","","91.000000","","2301.000000","","2257.000000","","2889.000000","","3689.000000","","1335.000000","","2525.000000","","3206.000000","","3777.000000","","2502.000000","","1743.000000","","1162.000000","","2540.000000","","3596.000000","","3072.000000","","598.000000","","343.000000","","33.000000","","113.000000","","400.000000","","571.000000","","1189.000000","","51.000000","","2091.000000","","987.000000","","810.000000","Im","1039.000000","Im","1166.000000","Im","1201.000000","Im","1146.000000","Im","1148.000000","Im","1259.000000","Im","1292.000000","Im","1341.000000","Im","1389.000000","Im"
"10","Australia","515","Apples","5312","Area harvested","ha","26656.000000","","26658.000000","","27473.000000","","27794.000000","","28722.000000","","28778.000000","","28818.000000","","28408.000000","","28911.000000","","29127.000000","","29219.000000","","29138.000000","","26200.000000","F","23100.000000","F","21000.000000","F","19560.000000","F","18680.000000","F","17800.000000","F","17890.000000","F","18340.000000","F","18300.000000","F","18200.000000","F","18300.000000","F","18200.000000","F","18440.000000","F","19200.000000","","19100.000000","","19130.000000","","19764.000000","","21100.000000","F","20400.000000","F","19700.000000","F","19700.000000","*","19720.000000","*","19750.000000","*","19750.000000","*","19755.000000","*","19760.000000","*","19760.000000","*","19700.000000","*","25000.000000","*","22000.000000","*","21000.000000","*","20500.000000","*","20500.000000","*","20000.000000","*","20000.000000","*","16441.000000","Im","22000.000000","F","16792.000000","Im","18790.000000","Im","18056.000000","Im","18015.000000","Im","16704.000000","Im","18508.000000","Im","19333.000000","Im","19668.000000","Im","16818.000000","Im","16612.000000","Im"
"10","Australia","515","Apples","5419","Yield","hg/ha","110682.000000","Fc","122396.000000","Fc","127242.000000","Fc","132186.000000","Fc","125340.000000","Fc","130960.000000","Fc","128366.000000","Fc","131543.000000","Fc","146119.000000","Fc","145589.000000","Fc","151489.000000","Fc","123607.000000","Fc","162734.000000","Fc","143421.000000","Fc","172751.000000","Fc","140507.000000","Fc","161430.000000","Fc","145146.000000","Fc","192816.000000","Fc","162929.000000","Fc","167716.000000","Fc","161800.000000","Fc","164385.000000","Fc","146702.000000","Fc","190889.000000","Fc","150000.000000","Fc","170021.000000","Fc","156721.000000","Fc","163451.000000","Fc","151376.000000","Fc","141534.000000","Fc","160457.000000","Fc","166392.000000","Fc","155639.000000","Fc","160281.000000","Fc","141847.000000","Fc","178724.000000","Fc","156304.000000","Fc","169207.000000","Fc","162260.000000","Fc","121067.000000","Fc","131938.000000","Fc","155272.000000","Fc","139162.000000","Fc","220805.000000","Fc","150626.000000","Fc","188990.000000","Fc","161475.000000","Fc","134152.000000","Fc","157457.000000","Fc","159541.000000","Fc","160093.000000","Fc","160354.000000","Fc","159705.000000","Fc","159496.000000","Fc","159467.000000","Fc","159513.000000","Fc","159564.000000","Fc","159614.000000","Fc"
"10","Australia","515","Apples","5510","Production","tonnes","295034.000000","","326282.000000","","349571.000000","","367397.000000","","360002.000000","","376878.000000","","369924.000000","","373688.000000","","422445.000000","","424057.000000","","442636.000000","","360167.000000","","426362.000000","","331302.000000","","362778.000000","","274831.000000","","301551.000000","","258360.000000","","344948.000000","","298812.000000","","306921.000000","","294476.000000","","300825.000000","","266998.000000","","352000.000000","","288000.000000","","324741.000000","","299807.000000","","323045.000000","","319403.000000","","288730.000000","","316101.000000","","327792.000000","","306920.000000","","316555.000000","","280147.000000","","353069.000000","","308856.000000","","334353.000000","","319652.000000","","302668.000000","","290264.000000","","326072.000000","","285282.000000","","452650.000000","","301251.000000","","377980.000000","","265481.000000","","295134.000000","","264401.000000","","299778.000000","","289064.000000","","288878.000000","","266771.000000","","295196.000000","","308298.000000","","313730.000000","","268355.000000","","265150.000000",""
"10","Australia","526","Apricots","5312","Area harvested","ha","3794.000000","","3794.000000","","4005.000000","","4059.000000","","3790.000000","","3793.000000","","3829.000000","","3590.000000","","3532.000000","","3430.000000","","3440.000000","","3440.000000","","3340.000000","F","3110.000000","F","2820.000000","F","2630.000000","F","2420.000000","F","2390.000000","F","2360.000000","F","2370.000000","F","2350.000000","F","2330.000000","F","2260.000000","F","2330.000000","F","2380.000000","F","2200.000000","F","2300.000000","F","2510.000000","F","2720.000000","F","2950.000000","F","2850.000000","F","2870.000000","F","3020.000000","F","3280.000000","F","3310.000000","F","3330.000000","F","3370.000000","F","2884.000000","Im","3319.000000","Im","3100.000000","F","3675.000000","Im","3000.000000","F","3100.000000","F","2332.000000","Im","4863.000000","Im","6000.000000","F","5283.000000","Im","5578.000000","Im","5007.000000","Im","5318.000000","Im","6350.000000","F","6300.000000","F","6320.000000","F","6250.000000","F","7796.000000","Im","4592.000000","Im","4000.000000","F","4619.000000","Im","4500.000000","F"
