Variable:;Precipitations (historic);Precipitations (RCP2.6);Precipitations (RCP6);Precipitations (RCP8.5);Temperature (historic);Temperature (RCP2.6);Temperature (RCP6);Temperature (RCP8.5)
1961;721.10;;;;8.47;;;
1962;658.11;;;;8.76;;;
1963;611.54;;;;8.92;;;
1964;685.37;;;;8.34;;;
1965;697.66;;;;8.47;;;
1966;628.66;;;;8.29;;;
1967;685.76;;;;8.70;;;
1968;685.08;;;;8.37;;;
1969;690.93;;;;8.59;;;
1970;677.69;;;;8.56;;;
1971;692.45;;;;8.31;;;
1972;715.18;;;;8.24;;;
1973;786.33;;;;8.76;;;
1974;698.14;;;;8.68;;;
1975;746.71;;;;8.25;;;
1976;612.08;;;;8.46;;;
1977;694.38;;;;9.11;;;
1978;694.08;;;;8.57;;;
1979;752.99;;;;8.38;;;
1980;657.39;;;;8.97;;;
1981;695.48;;;;9.54;;;
1982;780.89;;;;8.32;;;
1983;787.70;;;;8.74;;;
1984;712.91;;;;8.65;;;
1985;702.32;;;;8.38;;;
1986;725.25;;;;9.39;;;
1987;676.96;;;;9.47;;;
1988;609.74;;;;9.10;;;
1989;688.92;;;;8.66;;;
1990;748.55;;;;9.37;;;
1991;737.23;;;;9.37;;;
1992;726.79;;;;8.94;;;
1993;749.99;;;;8.71;;;
1994;707.59;;;;9.24;;;
1995;728.91;;;;9.26;;;
1996;751.05;;;;8.62;;;
1997;721.06;;;;8.77;;;
1998;765.98;;;;9.82;;;
1999;660.31;;;;9.25;;;
2000;663.97;;;;9.26;;;
2001;675.95;;;;9.44;;;
2002;671.86;;;;9.46;;;
2003;701.08;;;;9.43;;;
2004;753.12;;;;9.42;;;
2005;695.49;;;;9.68;;;
2006;686.89;845.43;857.61;875.87;9.82;9.75;9.59;9.64
2007;664.30;842.55;865.90;869.02;9.62;9.61;9.46;9.78
2008;709.48;842.87;876.54;877.53;8.83;9.71;9.53;9.64
2009;728.01;836.55;876.20;902.26;8.95;9.81;9.54;9.70
2010;707.51;852.62;854.76;901.19;9.35;9.84;9.69;9.64
2011;707.37;874.18;855.03;866.48;9.37;9.82;9.93;9.83
2012;658.57;853.53;860.49;895.89;10.11;9.93;9.72;9.91
2013;745.48;851.89;850.69;885.81;9.09;9.88;9.81;9.79
2014;720.92;863.46;863.94;897.26;9.42;10.01;9.81;9.89
2015;806.40;856.48;853.96;889.87;10.21;10.13;9.92;9.80
2016;728.29;847.58;840.15;907.38;10.68;10.15;9.99;9.83
2017;755.19;845.18;871.43;887.86;10.24;10.11;9.80;10.06
2018;804.40;853.42;891.28;876.74;9.89;10.17;9.77;10.06
2019;814.96;850.60;855.49;893.50;9.74;10.16;9.87;10.15
2020;717.58;845.32;863.21;871.00;10.05;10.22;10.09;10.28
2021;;840.56;867.54;900.89;;10.29;10.06;10.24
2022;;863.54;886.26;889.82;;10.18;9.92;10.23
2023;;865.15;860.91;888.40;;10.44;10.02;10.44
2024;;849.11;864.19;899.60;;10.55;10.06;10.41
2025;;862.84;855.10;912.32;;10.38;10.09;10.45
2026;;860.42;855.35;930.22;;10.39;10.01;10.48
2027;;880.58;887.80;923.74;;10.49;10.20;10.46
2028;;862.26;877.99;901.16;;10.57;10.23;10.71
2029;;861.43;860.31;921.65;;10.46;10.26;10.56
2030;;858.70;847.35;877.46;;10.55;10.28;10.73
2031;;852.74;887.57;890.83;;10.61;10.07;10.53
2032;;872.32;879.24;903.09;;10.42;10.37;10.63
2033;;874.97;862.85;908.35;;10.61;10.34;10.90
2034;;862.06;843.36;887.78;;10.71;10.60;10.81
2035;;856.10;877.89;896.98;;10.73;10.30;10.91
2036;;882.53;852.14;915.53;;10.73;10.44;10.91
2037;;879.77;881.60;887.31;;10.76;10.40;11.03
2038;;869.62;861.53;912.67;;10.79;10.56;11.09
2039;;867.12;874.60;893.63;;10.74;10.56;11.04
2040;;884.89;870.43;915.10;;10.68;10.67;11.06
2041;;903.97;892.35;903.93;;10.60;10.65;11.19
2042;;876.86;903.36;896.63;;10.68;10.66;11.42
2043;;861.95;888.47;923.26;;10.82;10.88;11.32
2044;;860.38;890.82;932.11;;10.83;10.82;11.41
2045;;865.45;860.74;913.88;;10.86;10.86;11.37
2046;;868.37;879.19;919.50;;10.80;10.99;11.53
2047;;883.67;870.93;914.67;;10.83;10.90;11.63
2048;;869.18;864.02;894.03;;10.82;11.05;11.79
2049;;875.38;878.38;900.76;;10.74;11.00;11.94
2050;;866.45;885.35;922.85;;10.77;10.76;11.92
2051;;841.11;845.52;912.09;;10.98;11.15;11.93
2052;;861.92;888.38;931.79;;10.74;11.06;11.84
2053;;873.88;884.22;932.17;;10.79;11.00;11.98
2054;;864.04;881.05;920.67;;11.02;11.10;12.11
2055;;882.21;896.47;922.30;;10.93;11.10;12.27
2056;;868.83;872.36;919.68;;11.15;11.04;12.31
2057;;874.40;849.37;921.03;;10.98;11.24;12.29
2058;;885.75;896.21;915.45;;10.90;11.20;12.37
2059;;861.25;877.65;921.73;;10.96;11.22;12.48
2060;;859.59;877.87;941.27;;10.95;11.20;12.51
2061;;868.82;895.11;912.65;;11.08;11.21;12.54
2062;;899.44;888.49;916.95;;10.83;11.51;12.69
2063;;890.09;883.14;939.43;;10.74;11.19;12.66
2064;;878.18;897.86;916.55;;10.65;11.44;12.79
2065;;902.20;872.43;914.15;;10.89;11.48;12.84
2066;;883.36;887.32;941.36;;10.84;11.63;12.90
2067;;866.54;894.38;943.31;;10.82;11.73;12.98
2068;;863.54;912.47;923.04;;10.85;11.75;13.00
2069;;876.35;878.67;914.04;;10.83;11.96;13.24
2070;;883.04;868.25;934.64;;10.87;11.83;13.29
2071;;880.53;895.54;948.48;;10.75;12.03;13.34
2072;;872.80;920.13;938.19;;10.98;11.89;13.29
2073;;875.27;896.35;935.62;;10.95;12.06;13.40
2074;;896.76;877.13;922.59;;10.90;12.18;13.53
2075;;856.05;893.27;926.25;;10.90;12.03;13.52
2076;;874.29;885.81;949.39;;10.87;12.02;13.69
2077;;908.06;888.27;946.10;;10.85;12.05;13.71
2078;;877.16;893.69;949.79;;10.81;12.26;13.85
2079;;882.18;924.88;956.58;;10.82;12.45;13.85
2080;;862.59;901.54;963.81;;10.85;12.68;13.82
2081;;861.75;911.07;934.73;;10.75;12.33;14.02
2082;;897.75;908.38;941.84;;10.74;12.17;13.97
2083;;874.13;870.62;929.66;;10.86;12.43;14.08
2084;;866.79;884.69;944.68;;10.82;12.57;14.07
2085;;869.35;915.60;951.73;;10.80;12.55;14.17
2086;;875.62;876.10;965.13;;10.89;12.88;14.20
2087;;883.89;901.27;964.65;;10.89;12.73;14.25
2088;;885.99;868.92;934.67;;10.93;12.79;14.39
2089;;874.61;948.01;953.24;;10.82;12.52;14.50
2090;;867.91;917.55;954.06;;10.93;12.63;14.51
2091;;877.02;925.09;980.23;;10.93;12.89;14.68
2092;;862.71;898.69;967.24;;10.82;12.75;14.65
2093;;882.43;902.41;943.85;;10.76;12.77;14.73
2094;;882.98;910.28;947.64;;10.89;12.74;14.95
2095;;880.79;934.22;966.44;;10.76;12.98;14.83
2096;;876.74;906.44;954.81;;10.83;12.78;14.99
2097;;882.55;886.82;974.61;;10.82;13.08;14.99
2098;;879.89;910.83;949.44;;10.79;12.95;15.15
2099;;844.92;890.81;945.26;;11.00;13.21;15.03
2100;;867.88;913.74;964.83;;10.77;12.92;15.23
